Time,Open,High,Low,Last,Change,%Chg,Volume
12/01/2021,74.037,74.335,73.696,74.152,0.121,+0.16%,52148
11/30/2021,74.519,75.099,73.965,74.031,-0.492,-0.66%,62714
11/29/2021,75.494,75.494,74.248,74.523,-0.999,-1.32%,53284
11/26/2021,74.64,75.89,74.532,75.522,0.877,+1.17%,47610
11/25/2021,74.924,74.945,74.479,74.645,-0.277,-0.37%,35264
11/24/2021,74.302,75.001,74.1,74.922,0.618,+0.83%,57571
11/23/2021,74.951,75.262,74.132,74.304,-0.648,-0.86%,61038
11/22/2021,73.443,75.019,73.196,74.952,1.509,+2.05%,62287
11/19/2021,73.078,73.66,72.689,73.443,0.364,+0.50%,55263
11/18/2021,72.565,73.347,72.436,73.079,0.514,+0.71%,48572
11/17/2021,73.038,73.223,72.315,72.565,-0.474,-0.65%,49113
11/16/2021,72.459,73.487,72.317,73.039,0.581,+0.80%,52557
11/15/2021,72.847,72.847,71.999,72.458,-0.402,-0.55%,42483
11/12/2021,71.578,73.161,71.486,72.86,1.279,+1.79%,57609
11/11/2021,71.241,71.731,70.96,71.581,0.345,+0.48%,39142
11/10/2021,70.746,71.302,70.504,71.236,0.492,+0.70%,47633
11/09/2021,71.251,71.334,70.639,70.744,-0.506,-0.71%,42287
11/08/2021,71.159,71.507,71.115,71.25,0.089,+0.13%,40925
11/05/2021,71.364,71.946,71.015,71.161,-0.205,-0.29%,43109
11/04/2021,71.777,71.886,71.2,71.366,-0.406,-0.57%,22817
11/03/2021,71.519,72.24,71.324,71.772,0.253,+0.35%,44782
11/02/2021,71.542,71.987,71.366,71.519,-0.025,-0.03%,48269
11/01/2021,70.841,71.62,70.718,71.544,0.641,+0.90%,39223
10/29/2021,70.216,70.974,70.151,70.903,0.689,+0.98%,46129
10/28/2021,70.621,70.754,70.05,70.214,-0.407,-0.58%,36377
10/27/2021,69.487,70.649,69.343,70.621,1.134,+1.63%,38092
10/26/2021,69.79,69.858,69.214,69.487,-0.298,-0.43%,37444
10/25/2021,70.28,70.49,69.683,69.785,-0.494,-0.70%,40285
10/22/2021,71.125,71.139,69.823,70.279,-0.845,-1.19%,43203
10/21/2021,70.807,71.289,70.695,71.124,0.319,+0.45%,38288
10/20/2021,70.857,71.127,70.75,70.805,-0.05,-0.07%,33577
10/19/2021,71.254,71.261,70.799,70.855,-0.397,-0.56%,36576
10/18/2021,70.952,71.363,70.948,71.252,0.307,+0.43%,36687
10/15/2021,71.36,71.426,70.874,70.945,-0.41,-0.57%,36489
10/14/2021,71.998,72.039,71.318,71.355,-0.642,-0.89%,37170
10/13/2021,71.84,72.086,71.715,71.997,0.156,+0.22%,40296
10/12/2021,71.747,71.982,71.704,71.841,0.095,+0.13%,39779
10/11/2021,71.834,71.892,71.546,71.746,-0.092,-0.13%,34495
10/08/2021,71.749,72.04,71.62,71.838,0.09,+0.13%,45519
10/07/2021,72.412,72.433,71.67,71.748,-0.666,-0.92%,44881
10/06/2021,72.292,72.713,72.261,72.414,0.122,+0.17%,47160
10/05/2021,72.426,72.664,72.241,72.292,-0.137,-0.19%,41599
10/04/2021,72.657,72.986,72.383,72.429,-0.236,-0.32%,43673
10/01/2021,72.712,73.23,72.63,72.665,-0.048,-0.07%,47535
09/30/2021,72.843,72.945,72.578,72.713,-0.13,-0.18%,43987
09/29/2021,72.743,72.912,72.609,72.843,0.1,+0.14%,43987
09/28/2021,72.621,72.991,72.389,72.743,0.125,+0.17%,44778
09/27/2021,72.668,72.777,72.413,72.618,-0.049,-0.07%,38577
09/24/2021,72.782,73.074,72.627,72.667,-0.115,-0.16%,37568
09/23/2021,72.985,73,72.555,72.782,-0.203,-0.28%,44491
09/22/2021,73.061,73.088,72.576,72.985,-0.076,-0.10%,34495
09/21/2021,73.415,73.518,72.935,73.061,-0.372,-0.51%,41359
09/20/2021,72.861,73.581,72.784,73.433,0.575,+0.79%,45570
09/17/2021,72.429,72.907,72.385,72.858,0.432,+0.60%,36339
09/16/2021,72.237,72.593,72.209,72.426,0.189,+0.26%,36505
09/15/2021,72.952,73.058,72.21,72.237,-0.709,-0.97%,36488
09/14/2021,72.616,72.97,72.527,72.946,0.333,+0.46%,40640
09/13/2021,73.15,73.176,72.584,72.613,-0.541,-0.74%,34847
09/10/2021,72.951,73.179,72.672,73.154,0.198,+0.27%,35123
09/09/2021,73.176,73.286,72.797,72.956,-0.213,-0.29%,41024
09/08/2021,73.311,73.516,73.117,73.169,-0.141,-0.19%,37671
09/07/2021,72.976,73.372,72.893,73.31,0.335,+0.46%,38606
09/06/2021,72.783,73.033,72.769,72.975,0.19,+0.26%,28761
09/03/2021,72.872,73.014,72.542,72.785,-0.088,-0.12%,38587
09/02/2021,72.988,73.018,72.684,72.873,-0.113,-0.15%,31046
09/01/2021,73.274,73.455,72.768,72.986,-0.279,-0.38%,34392
